"Name","Release_Price","Max_Power","Memory","Memory_Bandwidth","Core_Speed","Manufacturer","Memory_Type","Release_Year","log_Memory_Bandwidth"
"Radeon HD 6350",23,19,512,12.8,650,"AMD","GDDR3",2011,2.54944517092557
"GeForce GTX 560 EVGA 1GB Edition",199,150,1024,128.3,810,"Nvidia","GDDR5",2011,4.85437127162159
"Radeon HD 4890",249,190,1024,124.8,850,"AMD","GDDR5",2009,4.82671245593533
"GeForce GTX 1060 Asus Dual OC 6GB",279.99,120,6144,192.2,1570,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 580 Asus Dual 8GB",185,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 570",349,219,1280,152,732,"Nvidia","GDDR5",2010,5.02388052084628
"GeForce 9600 GT 512MB",200,95,512,57.6,650,"Nvidia","GDDR3",2008,4.05352256770185
"Radeon HD 7950 Sapphire FleX 3GB Edition",380,200,3072,240,860,"AMD","GDDR5",2012,5.48063892334199
"GeForce GT 430",79,49,1024,28.8,700,"Nvidia","DDR3",2010,3.3603753871419
"Radeon RX 480 Gigabyte 8GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 460 4GB",130,75,4096,192.1,1090,"AMD","GDDR5",2016,5.25801606977451
"GeForce GT 240",80,69,1024,54.4,550,"Nvidia","GDDR5",2009,3.9963641538619
"Radeon RX 580 Asus ROG Strix Gaming 8GB",185,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 1050 Ti MSI Gaming 4GB",150,75,4096,112.1,1316,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 460 PowerColor Red Dragon 4GB",120,75,4096,112,1090,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 650 1GB",109,64,1024,80,1058,"Nvidia","GDDR5",2012,4.38202663467388
"Radeon RX 560 4GB",149,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 460 HIS iCooler OC 2GB",120,75,2048,112,1100,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 560 Zotac AMP! 1GB Edition",249,150,1024,140.8,950,"Nvidia","GDDR5",2011,4.94734044372394
"GeForce GTX 950 EVGA Superclocked 2.0 2GB Edition",179,110,2048,105.8,1152,"Nvidia","GDDR5",2015,4.6615505194242
"GeForce GTX 1050 MSI Gaming X 2GB",130,75,2048,112.1,1442,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon R9 285 Sapphire Dual-X OC 2GB Edition",270,190,2048,179.2,965,"AMD","GDDR5",2014,5.18850250054083
"Radeon RX 470 PowerColour Red Dragon 4GB",199,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"Radeon RX 470 MSI Gaming X 4GB",199,110,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"GeForce GTX 1060 EVGA ACX 2.0 3GB",215,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 580 4GB",185,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"GeForce GTX 1050 MSI OC T 2GB",130,75,2048,112.1,1404,"Nvidia","GDDR5",2016,4.71939133007811
"GeForce GTX 980 Gainward 4GB Edition",549.99,165,4096,224.4,1126,"Nvidia","GDDR5",2014,5.41343017364854
"GeForce GTX 960 Gigabyte G1 Gaming 2GB Edition",229.99,120,2048,112.2,1241,"Nvidia","GDDR5",2015,4.7202829930886
"Radeon RX 560 HIS Green iCooler OC 4GB",109.99,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1060 Gigabyte Windforce 2X OC 3GB",243.44,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
